Cruise ,Year,Month,Day,Latitude,Longitude,Station,Bottle,Depth,Pres,Tinsitu,potential_temp,practical_salinity,oxygen,silicate,nitrate,Central,ENACW16,ENACW12,SPMW8,SPMW7,IrSPMW,LSW,MW,ISOW,NEADWL,DSOW,NEADWu,PIW,SAIW,SAIW6,SAIW4
GA01,2014,5,18,40.3332,-10.036,1,1,3525.9,3580.9,2.568521,2.2655,34.9193,244.4,40.71099,20.139349,0,0,0,0,0,0,0.019183,0.010094,0.233785,0.736822,0,0,0,0,0,0
GA02,2014,5,18,40.3332,-10.036,1,2,3203.5,3250.6,2.67443,2.4045,34.9329,244.6,38.263539,19.825305,0,0,0,0,0,0,0.062764,0.018673,0.249811,0.668631,0,0,0,0,0,0
GA03,2014,5,18,40.3332,-10.036,1,3,2958.9,3000.7,2.821749,2.5747,34.9512,245.7,35.182051,19.445545,0,0,0,0,0,0,0.114212,0.029564,0.269602,0.586505,0,0,0,0,0,0
GA04,2014,5,18,40.3332,-10.036,1,4,2467.9,2499.8,3.308195,3.1024,35,246.9,27.918415,18.596533,0,0,0,0,0,0,0.309398,0.065842,0.225879,0.398755,0,0,0,0,0,0
GA05,2014,5,18,40.3332,-10.036,1,5,1977.7,2001.2,4.192959,4.0221,35.0876,248.7,18.415001,17.331933,0,0,0,0.068256,0,0,0.497934,0.108855,0.116788,0.20812,0,0,0,0,0,0
GA06,2014,5,18,40.3332,-10.036,1,6,1780,1799.7,5.167863,5.0035,35.2192,241.7,14.82102,16.863934,0,0,0,0.112194,0,0,0.507479,0.184157,0.070498,0.12563,0,0,0,0,0,0
GA07,2014,5,18,40.3332,-10.036,1,7,1583,1600.5,6.985074,6.8192,35.5232,222.1,12.875968,16.413529,0,0,0,0.15212,0,0,0.346054,0.363548,0.049692,0.088552,0,0,0,0,0,0
GA08,2014,5,18,40.3332,-10.036,1,8,1386.8,1400.7,9.071162,8.9062,35.8918,200,10.742634,15.734698,0,0,0,0.167009,0,0,0.166027,0.588174,0.028311,0.050451,0,0,0,0,0,0
GA09,2014,5,18,40.3332,-10.036,1,9,1189.5,1200.8,10.572243,10.4192,36.1301,185.1,9.427948,15.018231,0,0,0,0.228533,0,0,0.009214,0.722394,0.014317,0.025514,0,0,0,0,0,0
GA10,2014,5,18,40.3332,-10.036,1,10,991.9,1001,11.22818,11.0971,36.155,182.9,8.592688,14.629004,0.124947,0,0.124947,0.188516,0,0,0,0.686495,0,0,0,0,0,0,0,0
GA11,2014,5,18,40.3332,-10.036,1,11,893.1,901.1,11.416264,11.2976,36.1327,180.2,8.234659,14.461035,0.213485,0,0.213485,0.147359,0,0,0,0.639106,0,0,0,0,0,0,0,0
GA12,2014,5,18,40.3332,-10.036,1,12,793.2,799.7,11.635148,11.5291,36.0887,181.4,7.755043,14.221976,0.332049,0,0.332049,0.103698,0,0,0,0.564213,0,0,0,0,0,0,0,0
GA13,2014,5,18,40.3332,-10.036,1,13,695.2,700.8,11.693271,11.6005,36.0074,182.7,7.236374,14.161044,0.434503,0,0.434503,0.099976,0,0,0,0.465488,0,0,0,0,0,0,0,0
GA14,2014,5,19,40.3332,-10.036,1,14,596.2,600.6,11.423714,11.3458,35.8421,185.8,7.099388,14.464163,0.511223,0,0.511223,0.179356,0,0,0,0.309388,0,0,0,0,0,0,0,0
GA15,2014,5,19,40.3332,-10.036,1,15,497.1,500.8,11.333082,11.2688,35.7066,194.4,6.179293,13.956742,0.617544,0,0.617544,0.215713,0,0,0,0.166713,0,0,0,0,0,0,0,0
GA16,2014,5,19,40.3332,-10.036,1,16,399,402.1,11.61858,11.5664,35.6551,210.6,4.57555,12.132975,0.76539,0,0.76539,0.15853,0,0,0,0.076053,0,0,0,0,0,0,0,0
GA17,2014,5,19,40.3332,-10.036,1,17,297.9,300,12.083961,12.0442,35.6736,218.4,3.487911,10.449027,0.905866,0,0.905866,0.050831,0,0,0,0.043259,0,0,0,0,0,0,0,0
GA18,2014,5,19,40.3332,-10.036,1,18,199.6,201.4,12.5096,12.4824,35.7022,229.8,2.65645,8.235757,0.99972,0.062831,0.936889,0,0,0,0,0,0,0,0,0,0,0,0,0
GA19,2014,5,19,40.3332,-10.036,1,19,148,149.4,12.728871,12.7085,35.7187,236.3,2.120437,7.119889,0.999887,0.115684,0.884203,0,0,0,0,0,0,0,0,0,0,0,0,0
GA20,2014,5,19,40.3332,-10.036,1,20,98.4,99.5,12.964109,12.9504,35.7371,238.3,1.832517,6.316875,1.000053,0.172956,0.827097,0,0,0,0,0,0,0,0,0,0,0,0,0
GA21,2014,5,20,40.3331,-9.4595,2,1,141.1,141.6,12.989969,12.9704,35.7567,219.3,3.640805,7.964207,0.999863,0.187469,0.812394,0,0,0,0,0,0,0,0,0,0,0,0,0
GA22,2014,5,20,40.3331,-9.4595,2,5,98.4,98.9,13.322181,13.3083,35.7878,237.4,1.451861,5.640506,1.000085,0.268759,0.731326,0,0,0,0,0,0,0,0,0,0,0,0,0
GA23,2014,5,21,40.3329,-9.6432,3,1,422.8,425.7,11.753636,11.6979,35.7114,204,4.900046,12.701116,0.753197,0,0.753197,0.12247,0,0,0,0.124322,0,0,0,0,0,0,0,0
GA24,2014,5,21,40.3329,-9.6432,3,4,297.9,299.7,12.102769,12.063,35.6948,214.1,3.831387,11.191731,0.889861,0,0.889861,0.045092,0,0,0,0.065029,0,0,0,0,0,0,0,0
GA25,2014,5,21,40.3329,-9.6432,3,7,199.6,200.8,12.570208,12.543,35.7137,228.8,2.653645,8.770463,0.999759,0.077776,0.921983,0,0,0,0,0,0,0,0,0,0,0,0,0
GA26,2014,5,21,40.3329,-9.6432,3,10,149,150.1,12.862012,12.8414,35.7397,238.5,2.036403,6.928756,0.999903,0.150955,0.848948,0,0,0,0,0,0,0,0,0,0,0,0,0
GA27,2014,5,21,40.3329,-9.6432,3,13,98.4,99.5,13.170358,13.1565,35.7773,241.2,1.646026,5.906417,0.999984,0.232267,0.767717,0,0,0,0,0,0,0,0,0,0,0,0,0
GA28,2014,5,21,40.3332,-9.7668,4,1,801.1,808.3,11.852125,11.7436,36.1649,182.3,7.463824,14.416935,0.325832,0,0.325832,0.04848,0,0,0,0.625695,0,0,0,0,0,0,0,0
GA29,2014,5,21,40.3332,-9.7668,4,2,801.1,808,11.852485,11.744,36.1645,182.2,7.506046,14.461036,0.326199,0,0.326199,0.048585,0,0,0,0.625225,0,0,0,0,0,0,0,0
GA30,2014,5,21,40.3332,-9.7668,4,3,693.2,699.5,11.854199,11.7608,36.03,183.5,6.988692,14.584722,0.462259,0,0.462259,0.064538,0,0,0,0.473221,0,0,0,0,0,0,0,0
GA31,2014,5,21,40.3332,-9.7668,4,4,693.2,699.5,11.855102,11.7617,36.0286,185.2,7.192975,14.585696,0.463195,0,0.463195,0.06516,0,0,0,0.471669,0,0,0,0,0,0,0,0
GA32,2014,5,21,40.3332,-9.7668,4,5,595.2,600,11.649906,11.5711,35.8649,187.6,6.69908,14.703974,0.560196,0,0.560196,0.129731,0,0,0,0.310091,0,0,0,0,0,0,0,0
GA33,2014,5,21,40.3332,-9.7668,4,6,497.1,500.9,11.486048,11.4212,35.7242,196,5.840261,14.19655,0.648094,0,0.648094,0.182243,0,0,0,0.169676,0,0,0,0,0,0,0,0
GA34,2014,5,21,40.3332,-9.7668,4,7,397,399.6,11.897645,11.845,35.6686,214.6,3.878251,11.757466,0.842409,0,0.842409,0.097351,0,0,0,0.060241,0,0,0,0,0,0,0,0
GA35,2014,5,21,40.3332,-9.7668,4,8,297.8,300.1,12.132078,12.0922,35.6783,219.8,3.350279,10.787129,0.914883,0,0.914883,0.041674,0,0,0,0.043435,0,0,0,0,0,0,0,0
GA36,2014,5,21,40.3332,-9.7668,4,9,197.6,199.4,12.504822,12.4779,35.7039,229.8,2.672748,8.714359,0.999748,0.060553,0.939195,0,0,0,0,0,0,0,0,0,0,0,0,0
GA37,2014,5,21,40.3332,-9.7668,4,12,148,149,12.780472,12.7601,35.7251,236.8,2.185302,7.406933,0.999945,0.126913,0.873032,0,0,0,0,0,0,0,0,0,0,0,0,0
GA38,2014,5,21,40.3332,-9.7668,4,15,99.4,100.4,13.047193,13.0333,35.7432,240.8,1.701871,6.25419,1.000152,0.190653,0.809499,0,0,0,0,0,0,0,0,0,0,0,0,0
GA39,2014,5,21,40.333,-9.8019,5,1,1384.9,1399,9.363531,9.1958,35.9499,196.4,10.591898,16.348473,0,0,0,0.153719,0,0,0.159226,0.62643,0.021792,0.038835,0,0,0,0,0,0
GA40,2014,5,21,40.333,-9.8019,5,3,1113.4,1124,11.451472,11.3017,36.2325,181.1,8.331702,15.014286,0.114541,0,0.114541,0.134983,0,0,0,0.750478,0,0,0,0,0,0,0,0
GA41,2014,5,21,40.333,-9.8019,5,5,990.9,999.9,11.54812,11.4149,36.2122,181.2,8.092393,14.931743,0.171388,0,0.171388,0.113415,0,0,0,0.715204,0,0,0,0,0,0,0,0
GA42,2014,5,21,40.333,-9.8019,5,7,891.1,899.4,11.79264,11.6718,36.1854,181.8,7.575986,14.610765,0.281929,0,0.281929,0.061453,0,0,0,0.656631,0,0,0,0,0,0,0,0
GA43,2014,5,21,40.333,-9.8019,5,8,793.2,799.6,11.94388,11.8361,36.1202,183.2,7.045348,14.427742,0.399172,0,0.399172,0.03531,0,0,0,0.565538,0,0,0,0,0,0,0,0
GA44,2014,5,21,40.333,-9.8019,5,10,695.2,701.1,11.83248,11.739,35.9954,184.5,6.91407,14.664271,0.488321,0,0.488321,0.074623,0,0,0,0.437079,0,0,0,0,0,0,0,0
GA45,2014,5,21,40.333,-9.8019,5,11,595.2,600.3,11.700674,11.6216,35.8826,186.1,6.535453,14.663349,0.560048,0,0.560048,0.115819,0,0,0,0.324148,0,0,0,0,0,0,0,0
GA46,2014,5,21,40.333,-9.8019,5,12,496.1,500.2,11.540036,11.4751,35.7092,199.6,5.377486,13.781957,0.680518,0,0.680518,0.172594,0,0,0,0.1469,0,0,0,0,0,0,0,0
GA47,2014,5,21,40.333,-9.8019,5,14,397,399.8,11.76088,11.7086,35.657,213.5,4.003702,12.16519,0.808361,0,0.808361,0.129092,0,0,0,0.062555,0,0,0,0,0,0,0,0
GA48,2014,5,21,40.333,-9.8019,5,16,299.8,301.7,12.040194,12.0003,35.669,219.2,3.315013,10.983824,0.893678,0,0.893678,0.063022,0,0,0,0.043294,0,0,0,0,0,0,0,0
GA49,2014,5,21,40.333,-9.8019,5,17,199.6,201.1,12.50996,12.4828,35.7028,229.8,2.597462,8.662254,0.999763,0.061133,0.93863,0,0,0,0,0,0,0,0,0,0,0,0,0
GA50,2014,5,21,40.333,-9.8019,5,19,149,149.9,12.740253,12.7198,35.7238,235.4,2.142773,7.52231,0.999892,0.118786,0.881106,0,0,0,0,0,0,0,0,0,0,0,0,0
GA51,2014,5,21,40.333,-9.8019,5,20,99.4,100,12.995401,12.9816,35.7423,238.1,1.782357,6.485552,1.000074,0.180634,0.81944,0,0,0,0,0,0,0,0,0,0,0,0,0
GA52,2014,5,21,40.3329,-9.8761,6,1,2457.1,2489.4,3.393534,3.1872,35.008,246.8,26.746731,19.765019,0,0,0,0,0,0,0.429518,0.072406,0.098071,0.399997,0,0,0,0,0,0
GA53,2014,5,21,40.3329,-9.8761,6,2,2222.5,2250.4,3.789209,3.5999,35.045,248.4,21.705523,18.872899,0,0,0,0,0,0,0.572708,0.101805,0.055695,0.269752,0,0,0,0,0,0
GA54,2014,5,21,40.3329,-9.8761,6,3,1977.7,2000.9,4.384224,4.2105,35.1141,247.1,17.420453,18.288532,0,0,0,0.062381,0,0,0.545658,0.127109,0.095199,0.169648,0,0,0,0,0,0
GA55,2014,5,21,40.3329,-9.8761,6,4,1781,1800.6,5.451739,5.2834,35.2739,237.2,14.463892,17.839265,0,0,0,0.095416,0,0,0.523052,0.2214,0.057558,0.10257,0,0,0,0,0,0
GA56,2014,5,21,40.3329,-9.8761,6,5,1583,1600.4,7.341294,7.1711,35.6271,216.3,12.132202,16.913036,0,0,0,0.069222,0,0,0.391839,0.4464,0.033259,0.059268,0,0,0,0,0,0
GA57,2014,5,21,40.3329,-9.8761,6,6,1386.8,1401.2,9.525436,9.3558,35.9693,194.7,10.381095,16.31793,0,0,0,0.169737,0,0,0.140808,0.635028,0.019564,0.034864,0,0,0,0,0,0
GA58,2014,5,21,40.3329,-9.8761,6,8,1190.4,1202.3,11.066724,10.9092,36.2333,181.6,9.054443,15.366774,0,0,0,0.196032,0,0,0.002038,0.793126,0.003167,0.005643,0,0,0,0,0,0
GA59,2014,5,21,40.3329,-9.8761,6,10,990.9,1000.5,11.57215,11.4387,36.1981,180.9,8.102202,14.859969,0.193283,0,0.193283,0.109953,0,0,0,0.696765,0,0,0,0,0,0,0,0
GA60,2014,5,21,40.3329,-9.8761,6,12,892.1,900.1,11.756211,11.6355,36.1851,181.6,7.681466,14.584066,0.270636,0,0.270636,0.069069,0,0,0,0.660301,0,0,0,0,0,0,0,0
GA61,2014,5,21,40.3329,-9.8761,6,13,794.1,801.5,11.87828,11.7706,36.1205,182.8,7.144479,14.395713,0.377937,0,0.377937,0.048973,0,0,0,0.5731,0,0,0,0,0,0,0,0
GA62,2014,5,21,40.3329,-9.8761,6,14,695.2,701.5,11.869758,11.776,36.0386,183.4,6.960506,14.457413,0.459315,0,0.459315,0.059626,0,0,0,0.481071,0,0,0,0,0,0,0,0
GA63,2014,5,21,40.3329,-9.8761,6,15,596.2,600.7,11.680342,11.6013,35.8814,185.9,6.742945,14.700465,0.554525,0,0.554525,0.120406,0,0,0,0.325082,0,0,0,0,0,0,0,0
GA64,2014,5,21,40.3329,-9.8761,6,16,497.1,500.6,11.439925,11.3753,35.6948,196.7,5.761623,14.190594,0.661717,0,0.661717,0.19634,0,0,0,0.141954,0,0,0,0,0,0,0,0
GA65,2014,5,21,40.3329,-9.8761,6,17,398,400.7,11.631231,11.5792,35.654,209.1,4.407192,12.607834,0.769311,0,0.769311,0.157133,0,0,0,0.073556,0,0,0,0,0,0,0,0
GA66,2014,5,21,40.3329,-9.8761,6,18,297.8,299.6,12.009949,11.9704,35.6702,219.5,3.46447,11.029527,0.882507,0,0.882507,0.069489,0,0,0,0.047998,0,0,0,0,0,0,0,0
GA67,2014,5,21,40.3329,-9.8761,6,19,199.6,201.2,12.500661,12.4735,35.7029,228.9,2.604349,8.795517,0.999754,0.059199,0.940555,0,0,0,0,0,0,0,0,0,0,0,0,0
GA68,2014,5,21,40.3329,-9.8761,6,20,150,150.9,12.801554,12.7809,35.7194,237.8,2.064538,7.057545,1.000012,0.129134,0.870878,0,0,0,0,0,0,0,0,0,0,0,0,0
GA69,2014,5,21,40.3329,-9.8761,6,21,98.4,99.1,13.155389,13.1416,35.7527,238.7,1.661643,6.047132,1.000203,0.217546,0.782657,0,0,0,0,0,0,0,0,0,0,0,0,0
GA70,2014,5,22,40.333,-9.9441,7,1,3375.5,3426.6,2.618658,2.3312,34.9261,244,39.653404,21.265699,0,0,0,0,0,0,0.123971,0.01508,0.123508,0.737436,0,0,0,0,0,0
GA71,2014,5,22,40.333,-9.9441,7,2,3202.5,3249.8,2.672812,2.403,34.9337,244.3,38.09687,21.072091,0,0,0,0,0,0,0.143977,0.019077,0.143437,0.693503,0,0,0,0,0,0
GA72,2014,5,22,40.333,-9.9441,7,3,2958.8,3001.2,2.839285,2.5918,34.9523,244.3,35.37025,20.782701,0,0,0,0,0,0,0.207551,0.031971,0.139779,0.620692,0,0,0,0,0,0
GA73,2014,5,22,40.333,-9.9441,7,4,2712,2749.1,3.052951,2.8269,34.9759,246.6,32.243305,20.425989,0,0,0,0,0,0,0.297376,0.049163,0.104558,0.548909,0,0,0,0,0,0
GA74,2014,5,22,40.333,-9.9441,7,5,2466.9,2499.5,3.357175,3.1505,35.0043,248.2,26.928675,19.801711,0,0,0,0,0,0,0.425873,0.069475,0.094822,0.409834,0,0,0,0,0,0
GA75,2014,5,22,40.333,-9.9441,7,6,2221.4,2249.4,3.637964,3.4513,35.0309,250,23.363726,19.123785,0,0,0,0,0,0,0.533543,0.091166,0.05464,0.320633,0,0,0,0,0,0
GA76,2014,5,22,40.333,-9.9441,7,7,1977.7,2001.5,4.187312,4.0165,35.0896,248.5,18.706969,18.494626,0,0,0,0,0,0,0.671476,0.13632,0,0.192137,0,0,0,0,0,0
GA77,2014,5,22,40.333,-9.9441,7,8,1779.9,1800.3,5.12103,4.9572,35.2267,240.7,15.57932,18.0647,0,0,0,0.085991,0,0,0.520715,0.192983,0.072002,0.128309,0,0,0,0,0,0
GA78,2014,5,22,40.333,-9.9441,7,9,1582,1599.2,7.017525,6.8514,35.5342,220.6,12.705974,17.356946,0,0,0,0.133485,0,0,0.382854,0.374277,0.039318,0.070066,0,0,0,0,0,0
GA79,2014,5,22,40.333,-9.9441,7,10,1385.8,1400.3,9.31117,9.1438,35.9427,197.3,10.829735,16.409282,0,0,0,0.152699,0,0,0.155535,0.621847,0.025134,0.044789,0,0,0,0,0,0
GA80,2014,5,22,40.333,-9.9441,7,11,1187.5,1199,10.623725,10.4705,36.1274,184.3,9.428467,15.945425,0,0,0,0.247512,0,0,0.006925,0.715633,0.010761,0.019176,0,0,0,0,0,0
GA81,2014,5,22,40.333,-9.9441,7,12,990.9,999.6,11.567934,11.4346,36.2262,181.5,8.207366,14.93036,0.163913,0,0.163913,0.107411,0,0,0,0.728687,0,0,0,0,0,0,0,0
GA82,2014,5,22,40.333,-9.9441,7,13,892.1,899.6,11.741968,11.6214,36.1976,181.8,7.762807,14.683216,0.253338,0,0.253338,0.070779,0,0,0,0.675896,0,0,0,0,0,0,0,0
GA83,2014,5,22,40.333,-9.9441,7,14,794.1,800.6,11.892672,11.785,36.1543,182.6,7.326353,14.438476,0.349402,0,0.349402,0.041326,0,0,0,0.609287,0,0,0,0,0,0,0,0
GA84,2014,5,22,40.333,-9.9441,7,15,694.2,700.4,11.974151,11.88,36.0762,183.7,6.926827,14.341024,0.456567,0,0.456567,0.031949,0,0,0,0.511502,0,0,0,0,0,0,0,0
GA85,2014,5,22,40.333,-9.9441,7,16,595.2,600.1,11.655058,11.5762,35.8858,186,6.75769,14.892889,0.541263,0,0.541263,0.125876,0,0,0,0.332885,0,0,0,0,0,0,0,0
GA86,2014,5,22,40.333,-9.9441,7,17,496.1,500.2,11.383064,11.3187,35.684,197.2,5.752784,14.403274,0.652878,0,0.652878,0.210844,0,0,0,0.1363,0,0,0,0,0,0,0,0
GA87,2014,5,22,40.333,-9.9441,7,18,396,399.4,11.641486,11.5896,35.6496,211.8,4.272178,12.58806,0.775962,0,0.775962,0.156431,0,0,0,0.067622,0,0,0,0,0,0,0,0
GA88,2014,5,22,40.33301,-9.9441,7,19,297.8,300.1,12.042487,12.0028,35.6748,218.2,3.480002,11.052314,0.888895,0,0.888895,0.061608,0,0,0,0.04949,0,0,0,0,0,0,0,0
GA89,2014,5,22,40.33296,-9.9441,7,20,197.6,199.1,12.478645,12.4518,35.7068,227.8,2.732677,9.07314,0.999695,0.056302,0.943393,0,0,0,0,0,0,0,0,0,0,0,0,0
GA90,2014,5,22,40.333,-9.9441,7,21,141.1,142.2,12.769525,12.7501,35.7219,237.3,2.016451,7.260186,0.999953,0.123884,0.876069,0,0,0,0,0,0,0,0,0,0,0,0,0
GA91,2014,5,22,40.33301,-9.9441,7,22,99.4,99.6,13.011355,12.9976,35.7331,240.5,1.534759,6.118701,1.000181,0.179635,0.820546,0,0,0,0,0,0,0,0,0,0,0,0,0
GA92,2014,5,22,40.33299,-10.0359,8,1,3505.4,3559.8,2.537614,2.2377,34.9172,242.4,41.13079,21.554294,0,0,0,0,0,0,0.090986,0.008753,0.126982,0.773275,0,0,0,0,0,0
GA93,2014,5,22,40.33299,-10.0359,8,2,3202.5,3249.6,2.70659,2.436,34.9367,242.5,35.950826,20.933498,0,0,0,0,0,0,0.146657,0.017489,0.21559,0.620253,0,0,0,0,0,0
GA94,2014,5,22,40.33299,-10.0359,8,3,2958.9,3001.2,2.829671,2.5824,34.951,244,34.825375,20.863296,0,0,0,0,0,0,0.211914,0.029857,0.153924,0.604308,0,0,0,0,0,0
GA95,2014,5,22,40.33299,-10.0359,8,4,2714,2751,3.070704,2.8441,34.977,244.9,31.128909,20.309287,0,0,0,0,0,0,0.2934,0.04805,0.152287,0.506256,0,0,0,0,0,0
GA96,2014,5,22,40.33302,-10.0359,8,5,2472.8,2504.9,3.377909,3.1703,35.007,246.2,26.620359,19.696035,0,0,0,0,0,0,0.412138,0.070471,0.127252,0.390122,0,0,0,0,0,0
GA97,2014,5,22,40.33298,-10.0359,8,6,2225.4,2252.7,3.737669,3.549,35.0394,248.5,22.108643,19.011215,0,0,0,0,0,0,0.564553,0.097592,0.056263,0.281563,0,0,0,0,0,0
GA98,2014,5,22,40.33302,-10.0359,8,7,1978.7,2001.8,4.357607,4.1842,35.1087,247.4,17.274933,18.325863,0,0,0,0.06067,0,0,0.557343,0.124389,0.092592,0.165002,0,0,0,0,0,0
GA99,2014,5,22,40.33304,-10.0359,8,10,1389.8,1404.3,9.462807,9.2934,35.9614,194.7,10.29135,15.366775,0,0,0,0.167654,0,0,0.132641,0.631495,0.024504,0.043666,0,0,0,0,0,0
GA100,2014,5,22,40.33304,-10.0359,8,11,1043.3,1053,11.118585,10.9812,36.1563,179.3,8.773374,15.05724,0.085777,0,0.085777,0.213352,0,0,0,0.700828,0,0,0,0,0,0,0,0
GA101,2014,5,22,40.33305,-10.0359,8,12,990.9,1000.1,11.413203,11.2809,36.2027,179.7,8.325236,15.741242,0.13451,0,0.13451,0.145731,0,0,0,0.719798,0,0,0,0,0,0,0,0
GA102,2014,5,22,40.33303,-10.0359,8,13,894,902.5,11.421981,11.3031,36.1241,179.9,8.036387,15.693534,0.218755,0,0.218755,0.151775,0,0,0,0.629503,0,0,0,0,0,0,0,0
GA103,2014,5,22,40.33302,-10.0359,8,14,797.1,804.3,11.61616,11.5096,36.0789,180.3,7.627582,15.240597,0.33158,0,0.33158,0.112553,0,0,0,0.555889,0,0,0,0,0,0,0,0
GA104,2014,5,22,40.33304,-10.0359,8,15,698.2,704.3,11.620833,11.528,35.9471,181.3,7.13717,15.208749,0.466255,0,0.466255,0.127135,0,0,0,0.406629,0,0,0,0,0,0,0,0
GA105,2014,5,22,40.33302,-10.0359,8,16,598.2,602.9,11.446393,11.3681,35.8144,185.4,6.730937,15.273182,0.542414,0,0.542414,0.181259,0,0,0,0.276349,0,0,0,0,0,0,0,0
GA106,2014,5,22,40.33301,-10.03588,8,17,498.1,501.8,11.426823,11.3621,35.6744,199.3,5.451924,13.996213,0.677182,0,0.677182,0.20218,0,0,0,0.12065,0,0,0,0,0,0,0,0
GA107,2014,5,22,40.33303,-10.03587,8,18,398,401.4,11.691394,11.6391,35.6547,212.1,4.188905,12.283789,0.788139,0,0.788139,0.144177,0,0,0,0.067686,0,0,0,0,0,0,0,0
GA108,2014,5,22,40.33303,-10.03584,8,19,300.8,302.6,12.001833,11.9619,35.6718,216.4,3.526814,11.233752,0.878566,0,0.878566,0.070757,0,0,0,0.050667,0,0,0,0,0,0,0,0
GA109,2014,5,22,40.33303,-10.03586,8,20,198.6,199.7,12.448582,12.4217,35.6989,227.2,2.701708,9.10472,0.999723,0.046816,0.952907,0,0,0,0,0,0,0,0,0,0,0,0,0
