stnnbr,c2,c3,c4,bottle flag,geotrc_ID,c7,c8,lat,lon,bottom depth,CTD pressure,CTD temperature,c14,c15,practical_salinity,bottle salinity flag,c18,c19,oxygen,bottle oxygen flag,silicate,silicate flag,nitrate,nitrate flag,c26,c27,phosphate,phosphate flag,PO,NO,SiO,absolute_salinity,conservative_temp,potential_temp,sigma0,depth
2.0,3,5,5,2,12483,20180926,2130,55.5958,-156.3469,260,190.6,5.3261,33.7329,2,33.736,2,105.4,2,102.79,2,63.49,2,35.23,2,0.03,2,2.48,2,487.19,443.8164,1055.14,33.90688248624076,5.319465503215983,5.3110632178416015,26.64742563025402,188.785191745461
2.0,3,1,1,2,12485,20180926,2130,55.5958,-156.3469,260,252.0,5.3036,33.7445,2,33.7475,2,98.4,2,101.05,2,64.47,2,35.24,2,0.03,2,2.51,2,490.09999999999997,442.1732,1068.1,33.9204847958302,5.2918658914261805,5.283643558607811,26.661346574773916,249.5635060543166
3.0,2,16,16,2,12516,20180927,2018,55.0803,-155.7202,1628,151.7,4.1614,33.6583,2,33.6524,2,97.1,2,98.77,2,69.94,2,38.58,2,0.02,2,2.65,2,509.52,472.22439999999995,1147.87,33.82129946331068,4.159391860574896,4.150906228291534,26.70753572192598,150.27642332529066
3.0,2,13,13,2,12517,20180927,2018,55.0803,-155.7202,1628,178.6,3.9984,33.781,2,33.7706,2,71.8,2,71.01,2,78.14,2,41.28,2,0.01,2,2.82,2,508.10999999999996,470.6004,1243.11,33.941136247893894,3.9933774163240683,3.9862053370153974,26.8191884690998,176.91246773913693
3.0,2,10,10,2,12518,20180927,2018,55.0803,-155.7202,1628,203.2,3.9205,33.8288,2,33.8273,2,55.3,2,55.42,2,83.41,2,42.61,2,0.01,2,2.9,2,504.92,467.8848,1306.57,33.99960278360945,3.9132451408222484,3.9066934086630134,26.873498524575098,201.2680489195445
3.0,4,20,20,2,12537,20180928,10,55.0802,-155.7203,1628,203.8,3.9943,33.8584,2,33.8603,2,44.7,2,40.56,2,84.77,2,43.57,2,0.01,2,3.01,2,507.10999999999996,462.31759999999997,1312.11,34.03278301437052,3.986576407074286,3.980318597396132,26.892317858896604,201.8620530693906
3.0,4,17,17,2,12538,20180928,10,55.0802,-155.7203,1628,303.0,3.8775,33.9549,2,33.9571,2,24.7,2,22.94,2,95.22,2,44.69,2,0.01,2,3.09,2,501.89,455.53919999999994,1451.24,34.13228725365551,3.8619398818009927,3.8567097565651896,26.983570109015773,300.0468007680441
3.0,2,7,7,2,12519,20180927,2018,55.0803,-155.7202,1628,304.8,3.8676,33.9795,2,33.9747,2,19.8,2,22.62,2,98.15,2,44.7,2,0.01,2,3.05,2,495.37,455.31600000000003,1494.87,34.15000942653164,3.8517507021233923,3.8466968046082815,26.998607385308787,301.8279423970493
3.0,2,4,4,2,12520,20180927,2018,55.0803,-155.7202,1628,405.3,3.8187,34.0912,2,34.0899,2,18.1,2,18.5,2,108.2,2,44.36,2,0.01,2,3.04,2,489.7,447.90479999999997,1641.5,34.26775496270212,3.794557092535693,3.7906615353641326,27.097461723339165,401.2506783846757
3.0,2,1,1,2,12521,20180927,2018,55.0803,-155.7202,1628,504.8,3.6796,34.1614,2,34.1588,2,15.6,2,17.23,2,115.42,2,44.19,2,0.01,2,3.03,2,486.88,444.9892,1748.53,34.33842897219119,3.647994103485739,3.644784723120782,27.167915161549672,499.6368418921692
3.0,4,13,13,2,12539,20180928,10,55.0802,-155.7203,1628,505.4,3.7313,34.1411,2,34.1424,2,16.1,2,15.18,2,112.78,2,44.22,2,0.01,2,3.1,2,495.68,443.2296,1706.88,34.32194980665008,3.699613638715405,3.696246731415386,27.149780610511698,500.22998719128486
3.0,6,34,34,2,12544,20180928,822,55.0802,-155.7202,1628,508.0,3.6714,34.1641,2,34.1641,2,15.7,2,14.57,2,115.61,2,43.92,2,0.0,2,3.1,2,495.07,439.7156,1748.72,34.34379145742619,3.6395383254471034,3.6363798489425094,27.172990957264574,502.8002450074293
3.0,6,31,31,2,12545,20180928,822,55.0802,-155.7202,1628,607.9,3.5069999999999997,34.2244,2,34.224000000000004,2,13.9,2,13.27,2,123.32,2,44.18,2,0.0,2,3.13,2,498.41999999999996,440.9324,1863.07,34.40506499584833,3.467944830886268,3.4653499674302797,27.23820817386718,601.5332260903994
3.0,6,28,28,2,12546,20180928,822,55.0802,-155.7202,1628,704.9,3.3773,34.264,2,34.2628,2,13.5,2,13.21,2,128.3,2,44.17,2,0.0,2,3.13,2,498.35999999999996,440.7756,1937.7100000000003,34.44503195421623,3.331395239365051,3.3291466054754157,27.2829283929118,697.3549782509264
